IP地址,端口,TLS,数据中心,地区,城市,网络延迟(毫秒),下载速度(MB/s)
130.250.137.211,443,true,LAX,North America,Los Angeles,173,3.43
5.10.247.40,443,true,LAX,North America,Los Angeles,196,3.43
5.10.247.24,443,true,LAX,North America,Los Angeles,230,3.42
135.84.64.62,443,true,LAX,North America,Los Angeles,177,3.42
130.250.137.29,443,true,LAX,North America,Los Angeles,188,3.42
108.162.194.252,443,true,LAX,North America,Los Angeles,185,3.42
31.12.75.46,443,true,LAX,North America,Los Angeles,171,3.42
108.162.194.122,443,true,LAX,North America,Los Angeles,1271,3.42
31.12.75.102,443,true,LAX,North America,Los Angeles,175,3.42
5.10.245.186,443,true,LAX,North America,Los Angeles,184,3.42
108.162.194.84,443,true,LAX,North America,Los Angeles,186,3.42
5.10.245.61,443,true,LAX,North America,Los Angeles,174,3.41
5.10.245.109,443,true,LAX,North America,Los Angeles,173,3.41
5.10.247.152,443,true,LAX,North America,Los Angeles,175,3.41
45.131.210.167,443,true,LAX,North America,Los Angeles,183,3.41
130.250.137.26,443,true,LAX,North America,Los Angeles,181,3.41
108.162.194.204,443,true,LAX,North America,Los Angeles,178,3.41
5.10.246.70,443,true,LAX,North America,Los Angeles,194,3.41
5.10.244.13,443,true,LAX,North America,Los Angeles,182,3.41
45.131.210.57,443,true,LAX,North America,Los Angeles,183,3.41
135.84.64.33,443,true,LAX,North America,Los Angeles,171,3.41
45.131.210.152,443,true,LAX,North America,Los Angeles,180,3.41
5.10.246.169,443,true,LAX,North America,Los Angeles,176,3.40
31.12.75.70,443,true,LAX,North America,Los Angeles,170,3.40
5.10.245.81,443,true,LAX,North America,Los Angeles,177,3.40
74.48.58.171,443,true,LAX,North America,Los Angeles,196,3.40
108.162.194.45,443,true,LAX,North America,Los Angeles,189,3.40
5.10.244.182,443,true,LAX,North America,Los Angeles,183,3.40
130.250.137.238,443,true,LAX,North America,Los Angeles,180,3.40
5.10.244.5,443,true,LAX,North America,Los Angeles,224,3.39
5.10.244.35,443,true,LAX,North America,Los Angeles,177,3.39
45.131.211.128,443,true,LAX,North America,Los Angeles,189,3.39
5.10.246.67,443,true,LAX,North America,Los Angeles,182,3.39
5.10.244.34,443,true,LAX,North America,Los Angeles,172,3.39
5.10.244.153,443,true,LAX,North America,Los Angeles,182,3.39
31.12.75.9,443,true,LAX,North America,Los Angeles,179,3.39
45.131.211.244,443,true,LAX,North America,Los Angeles,184,3.39
5.10.245.175,443,true,LAX,North America,Los Angeles,187,3.39
5.10.246.110,443,true,LAX,North America,Los Angeles,181,3.38
45.131.208.11,443,true,LAX,North America,Los Angeles,187,3.38
45.131.208.109,443,true,LAX,North America,Los Angeles,178,3.38
45.131.211.209,443,true,LAX,North America,Los Angeles,181,3.38
5.10.247.86,443,true,LAX,North America,Los Angeles,185,3.38
5.10.247.80,443,true,LAX,North America,Los Angeles,258,3.38
5.10.244.207,443,true,LAX,North America,Los Angeles,182,3.38
